PlateID,SampleID,WellID
Plate1,Sample1,A1
Plate1,Sample2,B1
Plate1,Sample3,C1
Plate1,Sample4,D1
Plate1,Sample5,E1
Plate1,Sample6,F1
Plate1,Sample7,G1
Plate1,Sample8,H1
Plate1,Sample9,A2
Plate1,Samplea,B2
Plate1,Sampleb,C2
Plate1,Samplec,D2
Plate1,Sampled,E2
Plate1,Samplee,F2
Plate1,Samplef,G2
Plate1,Sample10,H2
Plate1,Sample11,A3
Plate1,Sample12,B3
Plate1,Sample13,C3
Plate1,Sample14,D3
Plate1,Sample15,E3
Plate1,Sample16,F3
Plate1,Sample17,G3
Plate1,Sample18,H3
Plate1,Sample19,A4
Plate1,Sample1a,B4
Plate1,Sample1b,C4
Plate1,Sample1c,D4
Plate1,Sample1d,E4
Plate1,Sample1e,F4
Plate1,Sample1f,G4
Plate1,Sample20,H4
Plate1,Sample21,A5
Plate1,Sample22,B5
Plate1,Sample23,C5
Plate1,Sample24,D5
Plate1,Sample25,E5
Plate1,Sample26,F5
Plate1,Sample27,G5
Plate1,Sample28,H5
Plate1,Sample29,A6
Plate1,Sample2a,B6
Plate1,Sample2b,C6
Plate1,Sample2c,D6
Plate1,Sample2d,E6
Plate1,Sample2e,F6
Plate1,Sample2f,G6
Plate1,Sample30,H6
Plate1,Sample31,A7
Plate1,Sample32,B7
Plate1,Sample33,C7
Plate1,Sample34,D7
Plate1,Sample35,E7
Plate1,Sample36,F7
Plate1,Sample37,G7
Plate1,Sample38,H7
Plate1,Sample39,A8
Plate1,Sample3a,B8
Plate1,Sample3b,C8
Plate1,Sample3c,D8
Plate1,Sample3d,E8
Plate1,Sample3e,F8
Plate1,Sample3f,G8
Plate1,Sample40,H8
Plate1,Sample41,A9
Plate1,Sample42,B9
Plate1,Sample43,C9
Plate1,Sample44,D9
Plate1,Sample45,E9
Plate1,Sample46,F9
Plate1,Sample47,G9
Plate1,Sample48,H9
Plate1,Sample49,A10
Plate1,Sample4a,B10
Plate1,Sample4b,C10
Plate1,Sample4c,D10
Plate1,Sample4d,E10
Plate1,Sample4e,F10
Plate1,Sample4f,G10
Plate1,Sample50,H10
Plate1,Sample51,A11
Plate1,Sample52,B11
Plate1,Sample53,C11
Plate1,Sample54,D11
Plate1,Sample55,E11
Plate1,Sample56,F11
Plate1,Sample57,G11
Plate1,Sample58,H11
Plate1,Sample59,A12
Plate1,Sample5a,B12
Plate1,Sample5b,C12
Plate1,Sample5c,D12
Plate1,Sample5d,E12
Plate1,Sample5e,F12
Plate1,Sample5f,G12
Plate1,Sample60,H12
Plate2,Sample61,A1
Plate2,Sample62,B1
Plate2,Sample63,C1
Plate2,Sample64,D1
Plate2,Sample65,E1
Plate2,Sample66,F1
Plate2,Sample67,G1
Plate2,Sample68,H1
Plate2,Sample69,A2
Plate2,Sample6a,B2
Plate2,Sample6b,C2
Plate2,Sample6c,D2
Plate2,Sample6d,E2
Plate2,Sample6e,F2
Plate2,Sample6f,G2
Plate2,Sample70,H2
Plate2,Sample71,A3
Plate2,Sample72,B3
Plate2,Sample73,C3
Plate2,Sample74,D3
Plate2,Sample75,E3
Plate2,Sample76,F3
Plate2,Sample77,G3
Plate2,Sample78,H3
Plate2,Sample79,A4
Plate2,Sample7a,B4
Plate2,Sample7b,C4
Plate2,Sample7c,D4
Plate2,Sample7d,E4
Plate2,Sample7e,F4
Plate2,Sample7f,G4
Plate2,Sample80,H4
Plate2,Sample81,A5
Plate2,Sample82,B5
Plate2,Sample83,C5
Plate2,Sample84,D5
Plate2,Sample85,E5
Plate2,Sample86,F5
Plate2,Sample87,G5
Plate2,Sample88,H5
Plate2,Sample89,A6
Plate2,Sample8a,B6
Plate2,Sample8b,C6
Plate2,Sample8c,D6
Plate2,Sample8d,E6
Plate2,Sample8e,F6
Plate2,Sample8f,G6
Plate2,Sample90,H6
Plate2,Sample91,A7
Plate2,Sample92,B7
Plate2,Sample93,C7
Plate2,Sample94,D7
Plate2,Sample95,E7
Plate2,Sample96,F7
Plate2,Sample97,G7
Plate2,Sample98,H7
Plate2,Sample99,A8
Plate2,Sample9a,B8
Plate2,Sample9b,C8
Plate2,Sample9c,D8
Plate2,Sample9d,E8
Plate2,Sample9e,F8
Plate2,Sample9f,G8
Plate2,Samplea0,H8
Plate2,Samplea1,A9
Plate2,Samplea2,B9
Plate2,Samplea3,C9
Plate2,Samplea4,D9
Plate2,Samplea5,E9
Plate2,Samplea6,F9
Plate2,Samplea7,G9
Plate2,Samplea8,H9
Plate2,Samplea9,A10
Plate2,Sampleaa,B10
Plate2,Sampleab,C10
Plate2,Sampleac,D10
Plate2,Samplead,E10
Plate2,Sampleae,F10
Plate2,Sampleaf,G10
Plate2,Sampleb0,H10
Plate2,Sampleb1,A11
Plate2,Sampleb2,B11
Plate2,Sampleb3,C11
Plate2,Sampleb4,D11
Plate2,Sampleb5,E11
Plate2,Sampleb6,F11
Plate2,Sampleb7,G11
Plate2,Sampleb8,H11
Plate2,Sampleb9,A12
Plate2,Sampleba,B12
Plate2,Samplebb,C12
Plate2,Samplebc,D12
Plate2,Samplebd,E12
Plate2,Samplebe,F12
Plate2,Samplebf,G12
Plate2,Samplec0,H12
